                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.53956,                0.29907,                0.89488,                0.96792,                0.99001,                 0.9949,                0.96377,                0.32839,                0.18933,                0.82367,             3.0501e-05,             3.0501e-05,             3.0501e-05
                     35,                0.52714,                0.29739,                0.89415,                0.96766,                0.98896,                0.99489,                0.96298,                0.32774,                  0.188,                0.82373,             2.8758e-05,             2.8758e-05,             2.8758e-05
                     36,                0.52813,                 0.2961,                0.89371,                0.96854,                0.99089,                0.99488,                0.96228,                0.32692,                0.18871,                0.82326,             2.7016e-05,             2.7016e-05,             2.7016e-05
                     37,                0.52787,                0.29629,                0.89743,                0.96925,                0.99016,                0.99487,                0.96234,                0.32607,                0.18906,                0.82377,             2.5274e-05,             2.5274e-05,             2.5274e-05
                     38,                0.52401,                0.29642,                0.89688,                0.96805,                0.99085,                0.99487,                0.96222,                0.32412,                 0.1871,                0.82319,             2.3531e-05,             2.3531e-05,             2.3531e-05
                     39,                0.52982,                0.29722,                0.89698,                0.96848,                0.99054,                 0.9949,                0.96051,                0.32468,                0.18724,                0.82272,             2.1789e-05,             2.1789e-05,             2.1789e-05
                     40,                0.53789,                0.29933,                0.90063,                0.96881,                 0.9908,                 0.9949,                0.96203,                0.32369,                0.18483,                0.82275,             2.0046e-05,             2.0046e-05,             2.0046e-05
                     41,                0.48508,                0.25718,                0.86643,                0.96384,                0.99009,                0.99491,                0.96043,                0.34245,                0.19456,                0.82784,             1.8304e-05,             1.8304e-05,             1.8304e-05
                     42,                0.47229,                0.24744,                0.86743,                0.96541,                0.99017,                0.99491,                0.96206,                0.33851,                0.19153,                0.82647,             1.6562e-05,             1.6562e-05,             1.6562e-05
                     43,                0.48371,                0.27383,                0.87746,                0.96546,                0.98976,                0.99491,                0.96308,                0.33431,                0.19109,                0.82551,             1.4819e-05,             1.4819e-05,             1.4819e-05
                     44,                0.47031,                0.24631,                0.86227,                0.96738,                0.98969,                0.99491,                0.96409,                0.33166,                0.18947,                0.82442,             1.3077e-05,             1.3077e-05,             1.3077e-05
                     45,                0.47827,                0.25089,                0.86573,                0.96668,                0.99077,                0.99492,                0.96326,                0.33363,                0.18913,                0.82487,             1.1334e-05,             1.1334e-05,             1.1334e-05
                     46,                0.46979,                0.24302,                0.86463,                0.96715,                0.99118,                0.99491,                0.96393,                0.33182,                0.18706,                0.82455,              9.592e-06,              9.592e-06,              9.592e-06
                     47,                0.47096,                0.26046,                0.86038,                0.96766,                0.98952,                0.99491,                 0.9617,                0.33024,                0.18701,                0.82426,             7.8496e-06,             7.8496e-06,             7.8496e-06
                     48,                0.47037,                  0.264,                0.86499,                0.96756,                0.99001,                0.99491,                0.96322,                0.32983,                  0.188,                0.82423,             6.1072e-06,             6.1072e-06,             6.1072e-06
                     49,                0.46356,                 0.2443,                0.86035,                0.96762,                0.99057,                0.99491,                0.96467,                0.32984,                 0.1877,                0.82416,             4.3648e-06,             4.3648e-06,             4.3648e-06
                     50,                0.46964,                0.24302,                0.86152,                0.96763,                0.99074,                0.99491,                0.96544,                0.32893,                0.18653,                0.82393,             2.6224e-06,             2.6224e-06,             2.6224e-06
