                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58054,                0.44423,                0.97497,                0.95508,                0.97831,                0.99167,                0.90614,                0.43823,                0.26803,                0.87944,              0.0033255,              0.0033255,              0.0033255
                      2,                0.56051,                0.41098,                0.96224,                0.94879,                0.97195,                0.99168,                0.90626,                0.44447,                0.27079,                0.87952,              0.0066148,              0.0066148,              0.0066148
                      3,                 0.5829,                0.43674,                0.96869,                0.92759,                0.96002,                0.98621,                0.88724,                0.47403,                 0.3155,                 0.9034,              0.0098602,              0.0098602,              0.0098602
                      4,                0.61662,                0.49338,                0.98912,                0.93306,                0.94169,                0.98797,                0.88141,                0.49895,                0.32669,                0.91481,               0.009802,               0.009802,               0.009802
                      5,                0.62618,                0.50162,                0.99215,                0.93251,                0.93825,                0.98776,                 0.8875,                0.48642,                0.33668,                0.91557,               0.009736,               0.009736,               0.009736
                      6,                0.62549,                0.50782,                0.99086,                0.92671,                0.96094,                0.99032,                0.88644,                0.50188,                0.33712,                0.92136,                0.00967,                0.00967,                0.00967
                      7,                0.62476,                 0.5103,                0.99048,                0.91081,                0.95967,                0.98797,                0.88811,                0.48693,                0.33747,                0.90852,               0.009604,               0.009604,               0.009604
                      8,                0.62413,                0.50365,                0.99106,                0.92427,                 0.9384,                0.99004,                0.88612,                 0.5081,                0.32981,                0.92129,               0.009538,               0.009538,               0.009538
                      9,                0.62453,                0.49981,                0.98726,                0.91548,                0.98153,                0.98927,                0.89673,                 0.4835,                0.32351,                0.90843,               0.009472,               0.009472,               0.009472
                     10,                0.61871,                0.50157,                0.98825,                0.88849,                0.97775,                0.98727,                0.88547,                0.48699,                0.32357,                0.90681,               0.009406,               0.009406,               0.009406
                     11,                0.62013,                0.49813,                0.98634,                0.91692,                 0.9618,                0.99191,                0.90038,                0.49357,                0.32413,                  0.918,                0.00934,                0.00934,                0.00934
                     12,                0.61675,                0.50139,                0.98857,                0.92317,                0.95709,                0.99117,                0.88961,                0.48765,                 0.3264,                0.90788,               0.009274,               0.009274,               0.009274
                     13,                0.62074,                0.49363,                0.98395,                0.92151,                0.97683,                0.99066,                 0.8952,                0.48381,                0.32343,                0.90706,               0.009208,               0.009208,               0.009208
                     14,                0.61931,                0.49721,                0.98948,                0.93666,                0.95458,                0.99066,                0.89469,                0.47845,                0.32227,                0.90454,               0.009142,               0.009142,               0.009142
                     15,                 0.6187,                0.49629,                 0.9848,                0.91532,                0.97626,                0.99082,                0.89338,                0.48039,                0.31828,                0.90583,               0.009076,               0.009076,               0.009076
                     16,                0.61654,                0.48817,                0.98807,                0.93992,                0.97112,                0.99016,                0.90194,                0.47479,                0.31199,                0.90761,                0.00901,                0.00901,                0.00901
                     17,                0.61061,                0.48198,                0.98197,                0.91106,                0.98258,                0.99274,                0.89072,                 0.4799,                0.31126,                0.90481,               0.008944,               0.008944,               0.008944
                     18,                0.60882,                 0.4785,                0.98246,                0.92889,                 0.9743,                0.99162,                0.89076,                0.47801,                0.30816,                0.90411,               0.008878,               0.008878,               0.008878
                     19,                 0.6117,                 0.4856,                0.98501,                  0.948,                0.94476,                 0.9908,                0.89617,                0.47076,                0.30108,                0.89603,               0.008812,               0.008812,               0.008812
                     20,                0.61148,                0.47891,                0.98234,                0.92947,                0.96787,                0.99149,                0.89529,                0.48249,                0.30967,                0.90486,               0.008746,               0.008746,               0.008746
                     21,                0.60832,                0.47835,                0.98322,                0.93085,                0.98646,                0.99125,                0.89771,                  0.464,                0.30542,                0.89708,                0.00868,                0.00868,                0.00868
                     22,                0.60809,                0.47872,                0.98413,                0.92741,                0.97577,                0.99178,                0.90024,                0.47026,                0.30411,                  0.899,               0.008614,               0.008614,               0.008614
                     23,                0.60081,                0.47563,                 0.9786,                0.94832,                 0.9722,                0.99339,                0.89995,                0.46751,                0.29856,                0.89701,               0.008548,               0.008548,               0.008548
                     24,                0.60857,                0.47261,                0.98588,                0.93947,                0.96909,                 0.9925,                0.90252,                0.46922,                0.30419,                0.89952,               0.008482,               0.008482,               0.008482
                     25,                0.60429,                0.46848,                0.98094,                0.94259,                0.98116,                 0.9916,                0.89856,                0.46977,                0.29676,                0.89994,               0.008416,               0.008416,               0.008416
                     26,                0.59851,                0.47021,                0.97882,                0.93223,                0.96614,                 0.9893,                0.90025,                0.46231,                0.30932,                0.89409,                0.00835,                0.00835,                0.00835
                     27,                0.61471,                0.48224,                0.98634,                 0.9286,                0.96679,                0.99192,                0.90324,                0.46649,                0.29171,                0.89742,               0.008284,               0.008284,               0.008284
