                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7451,                0.71815,                 1.0567,                0.90099,                0.91928,                0.97946,                0.86336,                 0.5846,                0.43818,                      1,               0.008614,               0.008614,               0.008614
                     37,                0.74447,                0.71893,                 1.0605,                  0.879,                0.94804,                0.98092,                0.86714,                 0.5889,                0.43731,                0.99635,              0.0085744,              0.0085744,              0.0085744
                     38,                0.73862,                0.70745,                 1.0539,                0.90049,                0.89366,                0.97795,                0.86062,                0.57919,                0.42711,                0.98644,              0.0085348,              0.0085348,              0.0085348
                     39,                0.73042,                0.69239,                  1.048,                0.88587,                0.91631,                0.97167,                0.86361,                0.58493,                0.44104,                0.98872,              0.0084952,              0.0084952,              0.0084952
                     40,                0.73044,                0.68518,                 1.0492,                0.88969,                0.96149,                 0.9834,                0.87067,                0.57258,                0.42175,                0.97944,              0.0084556,              0.0084556,              0.0084556
                     41,                0.72768,                0.68593,                 1.0447,                0.89492,                0.95052,                0.98097,                0.87057,                0.57757,                 0.4115,                0.99042,               0.008416,               0.008416,               0.008416
                     42,                0.72564,                0.68179,                 1.0474,                0.90787,                0.92208,                0.98639,                0.88213,                0.56628,                 0.4047,                0.97821,              0.0083764,              0.0083764,              0.0083764
                     43,                0.72201,                0.67593,                 1.0447,                0.91036,                0.92216,                  0.987,                0.88038,                0.56181,                 0.4009,                0.97672,              0.0083368,              0.0083368,              0.0083368
                     44,                0.71654,                 0.6655,                 1.0445,                 0.9049,                 0.9457,                0.98865,                0.88828,                0.55322,                0.39323,                0.97159,              0.0082972,              0.0082972,              0.0082972
                     45,                0.71513,                0.66274,                 1.0415,                0.90073,                0.95654,                0.98862,                0.88709,                0.55229,                0.39332,                0.96635,              0.0082576,              0.0082576,              0.0082576
                     46,                0.71875,                0.65428,                 1.0422,                0.91319,                0.96191,                 0.9886,                0.88991,                0.55751,                0.37974,                0.96836,               0.008218,               0.008218,               0.008218
                     47,                0.70923,                0.65408,                 1.0401,                0.92988,                0.94008,                0.98675,                0.88389,                0.55686,                0.37907,                0.96948,              0.0081784,              0.0081784,              0.0081784
                     48,                 0.7065,                0.64685,                 1.0375,                0.92386,                0.96577,                0.98953,                0.88658,                0.54453,                0.37992,                0.96384,              0.0081388,              0.0081388,              0.0081388
                     49,                 0.7078,                0.63929,                 1.0373,                0.91539,                0.93374,                 0.9855,                0.89029,                0.54059,                0.36443,                0.95869,              0.0080992,              0.0080992,              0.0080992
                     50,                0.70688,                0.63717,                 1.0323,                0.91223,                0.96222,                0.98992,                0.88806,                0.52869,                0.35884,                0.95014,              0.0080596,              0.0080596,              0.0080596
                     51,                0.70097,                0.63196,                 1.0319,                0.90796,                0.97451,                0.99051,                0.90073,                0.52687,                0.36075,                0.95033,                0.00802,                0.00802,                0.00802
                     52,                0.69743,                0.61679,                 1.0305,                0.92959,                0.96288,                0.98984,                0.89297,                0.52906,                0.35478,                0.95219,              0.0079804,              0.0079804,              0.0079804
                     53,                0.70069,                0.62095,                  1.034,                0.89106,                 0.9702,                0.98861,                0.88976,                 0.5343,                0.36389,                0.95933,              0.0079408,              0.0079408,              0.0079408
                     54,                0.69808,                0.61709,                 1.0307,                0.92698,                0.96989,                0.98957,                0.89218,                0.53475,                0.36129,                0.95488,              0.0079012,              0.0079012,              0.0079012
                     55,                0.69069,                0.60801,                 1.0284,                0.93342,                0.96591,                0.98966,                0.89284,                 0.5262,                0.34631,                0.94811,              0.0078616,              0.0078616,              0.0078616
