                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57351,                0.47507,                0.91449,                0.91962,                0.80254,                0.85344,                 0.8084,                0.50426,                0.82489,                0.92435,             2.9143e-05,             2.9143e-05,             2.9143e-05
                      2,                0.57234,                0.41557,                0.91834,                0.96192,                0.82562,                0.89262,                0.83497,                0.46307,                0.50581,                0.88911,             5.7318e-05,             5.7318e-05,             5.7318e-05
                      3,                0.58016,                0.38744,                0.91532,                0.93499,                0.87143,                0.92851,                 0.8672,                 0.4523,                0.42377,                 0.8816,             8.4332e-05,             8.4332e-05,             8.4332e-05
                      4,                0.58928,                0.38928,                0.92315,                  0.952,                0.87202,                0.95031,                0.88462,                0.44678,                0.38513,                0.87967,             8.2773e-05,             8.2773e-05,             8.2773e-05
                      5,                0.57722,                0.36816,                0.91581,                0.95651,                0.87599,                0.96791,                0.90044,                0.44316,                0.35359,                0.87445,              8.103e-05,              8.103e-05,              8.103e-05
                      6,                0.57793,                0.35746,                0.91467,                0.94697,                0.91353,                0.98316,                0.91345,                0.43142,                0.32549,                0.86937,             7.9288e-05,             7.9288e-05,             7.9288e-05
                      7,                 0.5777,                0.35771,                0.91582,                0.93802,                0.92486,                 0.9835,                0.91517,                0.43075,                0.31124,                0.86868,             7.7546e-05,             7.7546e-05,             7.7546e-05
                      8,                 0.5681,                0.34691,                0.91126,                0.91555,                0.95885,                0.98454,                0.91404,                0.42987,                0.29997,                0.86743,             7.5803e-05,             7.5803e-05,             7.5803e-05
                      9,                0.57662,                0.34545,                0.91246,                 0.9294,                0.96575,                0.98589,                0.92218,                0.40925,                0.28904,                0.85785,             7.4061e-05,             7.4061e-05,             7.4061e-05
                     10,                0.56217,                0.33948,                0.91228,                  0.948,                0.95445,                0.98978,                0.92552,                0.41128,                0.28174,                0.85821,             7.2318e-05,             7.2318e-05,             7.2318e-05
                     11,                0.56623,                0.33808,                0.91315,                 0.9374,                0.95935,                0.99385,                0.92776,                 0.4046,                0.27392,                 0.8559,             7.0576e-05,             7.0576e-05,             7.0576e-05
                     12,                0.57294,                0.34594,                0.91516,                0.92585,                0.97327,                0.99247,                0.93058,                0.40422,                0.26283,                0.85558,             6.8834e-05,             6.8834e-05,             6.8834e-05
                     13,                 0.5681,                0.33989,                0.90972,                0.93529,                0.96508,                 0.9922,                 0.9298,                0.39645,                0.25665,                0.85387,             6.7091e-05,             6.7091e-05,             6.7091e-05
                     14,                0.56962,                0.33554,                 0.9119,                0.95743,                0.95525,                0.99063,                 0.9286,                0.39926,                0.26505,                0.85442,             6.5349e-05,             6.5349e-05,             6.5349e-05
                     15,                0.56905,                0.33613,                0.91235,                0.95528,                0.96403,                0.99142,                0.93114,                0.39326,                0.25149,                0.85187,             6.3606e-05,             6.3606e-05,             6.3606e-05
                     16,                0.56075,                0.32977,                0.90795,                0.96401,                0.95828,                0.99076,                0.93065,                0.39396,                0.25289,                0.84936,             6.1864e-05,             6.1864e-05,             6.1864e-05
                     17,                0.55755,                0.33522,                0.90459,                0.93292,                0.98514,                0.99462,                0.93587,                0.39169,                0.24527,                0.84724,             6.0122e-05,             6.0122e-05,             6.0122e-05
                     18,                0.56456,                0.33048,                0.91045,                 0.9162,                0.98591,                0.99457,                0.93807,                0.38957,                0.24423,                0.84616,             5.8379e-05,             5.8379e-05,             5.8379e-05
                     19,                0.55008,                 0.3282,                0.90569,                0.92999,                0.98747,                0.99498,                0.93597,                0.38851,                0.24215,                0.84554,             5.6637e-05,             5.6637e-05,             5.6637e-05
                     20,                0.55026,                0.32021,                0.90118,                0.94188,                0.98496,                0.99495,                0.93519,                0.38378,                0.24164,                0.84489,             5.4894e-05,             5.4894e-05,             5.4894e-05
                     21,                0.55054,                0.32062,                0.90439,                0.93522,                0.99072,                0.99493,                0.93838,                 0.3845,                0.23835,                0.84518,             5.3152e-05,             5.3152e-05,             5.3152e-05
                     22,                0.55368,                0.32261,                 0.9047,                0.96007,                0.96587,                0.99499,                0.93888,                0.37964,                0.23502,                0.84264,              5.141e-05,              5.141e-05,              5.141e-05
                     23,                0.55628,                0.32374,                0.90692,                0.95408,                0.97452,                0.99436,                0.94019,                0.37909,                0.23791,                0.84207,             4.9667e-05,             4.9667e-05,             4.9667e-05
                     24,                0.55017,                0.32251,                0.90539,                0.96275,                0.96867,                0.99496,                0.94186,                0.37774,                0.23151,                0.84318,             4.7925e-05,             4.7925e-05,             4.7925e-05
                     25,                 0.5502,                0.32102,                0.90619,                0.94935,                0.97439,                0.99486,                0.94286,                0.37598,                0.22991,                0.84194,             4.6182e-05,             4.6182e-05,             4.6182e-05
                     26,                0.54541,                 0.3148,                0.89757,                0.96213,                0.96902,                0.99497,                0.94354,                0.37326,                0.22881,                0.84082,              4.444e-05,              4.444e-05,              4.444e-05
                     27,                0.54496,                0.31875,                0.90557,                0.96364,                0.96712,                0.99499,                0.94144,                0.37121,                0.22505,                0.84129,             4.2698e-05,             4.2698e-05,             4.2698e-05
                     28,                0.54904,                0.31852,                0.90304,                0.92259,                0.98017,                0.99497,                0.94141,                 0.3737,                0.22682,                0.84075,             4.0955e-05,             4.0955e-05,             4.0955e-05
                     29,                0.55021,                0.32013,                0.90243,                0.94608,                0.97875,                0.99402,                 0.9397,                0.37406,                0.22355,                0.84314,             3.9213e-05,             3.9213e-05,             3.9213e-05
                     30,                0.53905,                0.31503,                0.90312,                0.92046,                0.99265,                0.99401,                0.94287,                0.37103,                0.22499,                0.84171,              3.747e-05,              3.747e-05,              3.747e-05
                     31,                 0.5445,                0.31401,                0.89823,                0.94647,                0.98495,                0.99401,                0.94434,                0.37022,                0.21958,                0.84137,             3.5728e-05,             3.5728e-05,             3.5728e-05
                     32,                0.54423,                0.31111,                0.89962,                0.95256,                0.97419,                0.99401,                0.94348,                 0.3684,                0.21925,                0.83922,             3.3986e-05,             3.3986e-05,             3.3986e-05
                     33,                0.54473,                0.31156,                0.90155,                0.93579,                0.99134,                0.99402,                0.94578,                 0.3665,                0.22034,                0.83857,             3.2243e-05,             3.2243e-05,             3.2243e-05
                     34,                0.54055,                0.31015,                0.89834,                0.95217,                0.97584,                0.99498,                0.94587,                0.36662,                0.21978,                0.83836,             3.0501e-05,             3.0501e-05,             3.0501e-05
                     35,                0.53934,                0.30788,                0.89653,                0.93432,                0.99122,                0.99401,                0.94865,                0.36471,                0.22088,                0.83797,             2.8758e-05,             2.8758e-05,             2.8758e-05
                     36,                0.54581,                0.31469,                0.90013,                0.92841,                0.99363,                0.99401,                0.94899,                0.36455,                0.21822,                0.83781,             2.7016e-05,             2.7016e-05,             2.7016e-05
                     37,                0.53188,                0.30867,                 0.8985,                0.92818,                0.98879,                0.99499,                0.94732,                0.36417,                0.21965,                0.83735,             2.5274e-05,             2.5274e-05,             2.5274e-05
                     38,                0.53534,                0.30551,                0.89999,                 0.9591,                0.97217,                0.99402,                0.94671,                0.36284,                0.21808,                0.83633,             2.3531e-05,             2.3531e-05,             2.3531e-05
                     39,                0.54747,                0.31488,                0.90416,                0.96938,                 0.9635,                0.99498,                0.94578,                0.36293,                0.21687,                0.83681,             2.1789e-05,             2.1789e-05,             2.1789e-05
                     40,                0.54103,                 0.3107,                0.90288,                0.95495,                0.97805,                0.99499,                 0.9461,                0.36148,                0.21707,                0.83638,             2.0046e-05,             2.0046e-05,             2.0046e-05
                     41,                0.47982,                0.25445,                0.86913,                0.91538,                0.99297,                0.99356,                0.94058,                0.37659,                0.23124,                0.84005,             1.8304e-05,             1.8304e-05,             1.8304e-05
                     42,                0.47429,                0.24883,                0.86884,                0.95005,                0.98116,                0.99397,                0.94136,                 0.3715,                0.22224,                0.83928,             1.6562e-05,             1.6562e-05,             1.6562e-05
                     43,                0.47201,                0.24844,                0.86647,                0.93803,                0.99129,                0.99398,                0.94475,                0.36788,                0.21947,                0.83754,             1.4819e-05,             1.4819e-05,             1.4819e-05
                     44,                 0.4712,                0.24775,                0.86007,                0.93952,                 0.9892,                0.99358,                0.94362,                0.36656,                0.21803,                0.83748,             1.3077e-05,             1.3077e-05,             1.3077e-05
                     45,                0.46799,                0.24516,                0.86489,                0.95131,                0.98742,                0.99402,                0.94491,                0.36348,                0.21377,                0.83598,             1.1334e-05,             1.1334e-05,             1.1334e-05
                     46,                 0.4654,                0.24111,                0.86245,                0.94812,                0.98969,                0.99402,                0.94627,                0.36287,                0.21357,                0.83569,              9.592e-06,              9.592e-06,              9.592e-06
                     47,                0.46227,                0.24355,                0.86141,                0.95448,                0.98656,                0.99402,                0.94751,                0.36201,                0.21366,                0.83577,             7.8496e-06,             7.8496e-06,             7.8496e-06
                     48,                0.46195,                0.24109,                0.86047,                0.95259,                 0.9869,                0.99402,                0.94571,                0.36137,                0.21373,                0.83528,             6.1072e-06,             6.1072e-06,             6.1072e-06
